author,text
@CullenWheeler-li1ix,There's no possible way Nintendo will ever reply to this comment
@IAMAPOTATO-p6v,"time to pirates all of your games
🖕 nintendo"
@tiootte5,"so far all im seeing is nintendo switch expansion.....like  a 1.5 upgrade not a full 2.....
better graphics...bigger screen......its not like the jump from ps3 to ps4 or ps4 to ps5 etc...
still my fav system...nintendo
cant beat super mario karts from super nintedo.....coming from a guy in his 30's"
@Codyisfake,the only way you will see me buying this is if it has roblox on it... (JUST ADD ROBLOX ALREADY NINTENDO YOUR SALES WOULD GO UP 100 TIMES WHAT THEY ARE NOW)
@Kingsnipe-vj8ft,Dear nintendo of america! I have made my way into this video to ask something.. WHEN WILL YOU SUPPORT STEAM (and roblox)
@JaymielHarris,What would the new system be called Switch 3 lets see what the future holds
@giovanniperez7787,I want that system I mean I have a Nintendo Switch but this one is cooler.
@EuroBlob,Price of games need to go down to 60 or 70. Anything more and I'm keeping my money.
@rajaalghul,"Nintendo is f*%+ing trash - while you technically purchase the Nintendo Switch 2 console itself, you don't own the software you download or purchase digitally. Nintendo's updated user agreement states that they retain the right to render your Nintendo Account Services and/or the console permanently unusable"
@brianwebster8843,Controls are too sensitive to play most games and your big reveal is a feature your other emulators already have 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@jorgeferreira8903,"Trailer Nintendo Switch 4,8 M of views. Trailer GTA VI 157 M of views. Something it’s going to be wrong…"
@MoeEye64,"There's nothing that changed other than the screen and controllers, they could've made new controllers instead of making a new console,I'm pretty disappointed especially with how they'll price it"
@bradleybulmer76,"I hope the joy con doesn't keep disconnecting like on the original Switch, I wish Andrew would smack that joy con in a temper if that happened to him too.😡"
@kobe_ftw807,Is there also going to be a Sonic nintendo switch 2 game?.like Sonic racing cross worlds for nintendo switch 1 and nintendo switch 2?
@kobe_ftw807,"Nintendo almost made me mad because they keep showing Mario and is it’s starting to annoy me.Where is Sonic,I want them to show Sonic😢,I almost got mad"
@robertzombiekill6365,"Yeah The $450 Pricetag for the system & $90 game pricetag is WAY TOO MUCH. I hesitated to even buy the latest Zelda due to the Pricetag, but this is just CRAZY. They can keep it unless they reduce prices significantly, my Nintendo Switch (1) works just fine & I don't play it that often anyway. 🇺🇲"
@JaymielHarris-i2e,Im happy because June 5th is coming shortly they started developing in 2019 wow this is very hard waiting for Nintendo fans and we made it through I know this long waiting can be impossible but it is what is what can we do about it nothing.
@AvalosTokyo,All they had to say is they fixed the bs joy con drift
@annamarks8555,I HATE YOU
@tdc397,":/ all to Super Switch, all bad"
@maryannbanares7984,Iprintit 🎉
@rileyretzlaff7769,Not buying it Nintendo. Canceling monthly subscription as well.
@DomVito87,can't wait to run switch 2 games on my steamdeck.
@hjonk1351,but can it run Doom?
@IamMavi11,I think this nintendo switch 2 system is a problem. This system is a controlled system you cannot do anything in this system.
@anonymousanonymous5732,">360p
>always online DRM
>downloadable cartridges 
>80 dollar games
>10 dollars for a tech demo
>3fps screenshare
>button you have to pay for

Nope!"
